#id_node              x              y              z
662          -30.000000       1.961524     -50.000000
663          -27.500000       6.291651     -50.000000
664          -35.000000      10.621778     -50.000000
665          -30.000000      10.621778     -50.000000
666          -32.453744      14.912668     -50.000000
667          -27.500000      14.951905     -50.000000
668          -50.000000      45.394201     -41.856048
669          -45.394968      50.000000     -41.855605
670          -46.650635      50.000000     -37.500000
671          -50.000000      46.660959     -37.443340
672          -50.000000      50.000000     -35.000000
673          -50.000000      39.962399     -41.361455
674          -50.000000      42.500000     -37.009619
675          -50.000000      37.493733     -36.976223
676          -50.000000      50.000000     -30.000000
677          -29.982305      19.271816     -50.000000
678          -44.858319      28.964367     -45.189890
679          -42.906836      24.412950     -43.119145
680          -36.447638      23.122513     -50.000000
681          -38.285221      28.028149     -50.000000
682          -44.428026      45.303174     -45.303174
683          -42.306624      50.000000     -45.781518
684          -42.306624      45.781518     -50.000000
685          -37.462399      50.000000     -45.691582
686          -35.000000      50.000000     -50.000000
687          -30.000000      50.000000     -50.000000
688          -37.500000      45.669873     -50.000000
689          -39.967771      41.358354     -50.000000
690          -40.351666      32.735647     -50.000000
691          -42.500000      37.009619     -50.000000
692          -37.500000      37.009619     -50.000000
693          -32.393832      23.550863     -50.000000
694          -33.935107      27.486306     -50.000000
695          -29.809168      27.832109     -50.000000
696          -35.734431      -6.160363     -36.480682
697          -45.141487      19.426080     -43.895121
698          -38.147627      21.500800     -44.698556
699          -37.485923      14.879331     -50.000000
700          -34.754238      19.129400     -50.000000
701          -44.259738       8.332015     -43.525441
702          -39.511698       6.191884     -45.088521
703          -42.507186       2.500000     -42.449523
704          -45.083737       5.412067     -38.496980
705          -50.000000      17.499841     -37.009527
706          -50.000000      12.499974     -37.009604
707          -50.000000      10.000000     -32.679492
708          -43.092625      14.381303     -42.991207
709          -45.322852      14.579006     -38.229551
