#id_node              x              y              z
600          -44.610756     -44.610756      -1.140150
601          -40.055792     -50.000000       2.056392
602          -45.434209     -39.373573       4.574579
603          -50.000000     -37.355798       6.923294
604          -50.000000     -32.500000       6.291651
605          -50.000000     -33.929069      10.058758
606          -36.808648     -30.907149     -23.140728
607          -34.964212     -29.604611     -27.934746
608          -39.192824     -21.978700     -25.662882
609          -44.593405     -18.297949     -23.875693
610          -42.972296     -23.670636     -21.899987
611          -44.369473     -19.566890     -17.628299
612          -32.498730     -50.000000      -2.369336
613          -27.499813     -50.000000      -2.368711
614          -29.999067     -50.000000       1.960985
615           -4.017169     -38.165085     -40.268225
616           -8.366643     -27.447066     -43.775547
617           -5.247440     -33.202931     -41.897746
618          -12.712951     -38.404320     -35.519107
619          -27.314434     -39.360570     -26.410669
620          -19.175097     -37.086378     -35.340512
621          -18.992121     -40.984396     -30.374357
622          -25.573633     -35.438981     -31.494010
623          -21.737977     -38.755034     -26.001586
624          -35.519351     -22.851971     -31.092947
625          -28.909103     -26.066567     -34.334148
626          -23.790499     -21.830792     -42.971571
627          -30.103231     -29.564217     -30.044340
628          -30.878296     -34.743618     -27.320649
629          -30.559676     -20.857481     -35.818392
630          -34.729378     -24.998211     -25.325707
631          -36.736811     -25.784035     -20.336085
632          -34.455007     -17.526938     -29.170846
633          -33.672211     -13.979367     -33.641333
634          -25.667155     -20.316280     -38.107856
635          -27.164600     -15.618550     -40.589449
636          -31.867018     -16.227975     -38.135032
637          -22.667241     -26.180598     -38.562574
638          -18.025650     -31.449919     -37.695200
639          -22.225943     -29.596700     -33.907863
640          -14.975392     -27.408721     -40.823369
641          -14.360356     -33.458007     -33.457984
642           -2.500000     -50.000000     -28.349365
643           -0.000000     -50.000000     -32.679492
644           -9.678333     -31.363822     -37.482847
645           -7.077200     -45.435430     -31.314477
646           -4.903957     -43.392092     -35.570661
647           -5.864648     -37.433760     -35.629206
648            8.381929     -45.201448     -39.387188
649           10.000000     -50.000000     -32.679492
650            7.500000     -50.000000     -37.009619
651            2.500000     -50.000000     -28.349365
652            5.000000     -50.000000     -32.679492
653            3.316061     -43.091636     -38.196184
654            2.579138     -44.988995     -33.006335
655            5.000000     -32.679492     -50.000000
656            2.500000     -28.349365     -50.000000
657           10.000000     -32.679492     -50.000000
658            7.500000     -28.349365     -50.000000
659            1.670721     -31.101314     -45.192890
660          -12.500000     -50.000000     -19.689111
661            7.500000     -50.000000     -28.349365
662           12.500000     -50.000000     -28.349365
663          -30.000000       1.961524     -50.000000
664          -27.500000       6.291651     -50.000000
665          -35.000000      10.621778     -50.000000
666          -30.000000      10.621778     -50.000000
667          -32.453744      14.912668     -50.000000
668          -27.500000      14.951905     -50.000000
669          -50.000000      45.394201     -41.856048
670          -45.394968      50.000000     -41.855605
671          -46.650635      50.000000     -37.500000
672          -50.000000      46.660959     -37.443340
673          -50.000000      50.000000     -35.000000
674          -50.000000      39.962399     -41.361455
675          -50.000000      42.500000     -37.009619
676          -50.000000      37.493733     -36.976223
677          -50.000000      50.000000     -30.000000
678          -29.982305      19.271816     -50.000000
679          -44.858319      28.964367     -45.189890
680          -42.906836      24.412950     -43.119145
681          -36.447638      23.122513     -50.000000
682          -38.285221      28.028149     -50.000000
683          -44.428026      45.303174     -45.303174
684          -42.306624      50.000000     -45.781518
685          -42.306624      45.781518     -50.000000
686          -37.462399      50.000000     -45.691582
687          -35.000000      50.000000     -50.000000
688          -30.000000      50.000000     -50.000000
689          -37.500000      45.669873     -50.000000
690          -39.967771      41.358354     -50.000000
691          -40.351666      32.735647     -50.000000
692          -42.500000      37.009619     -50.000000
693          -37.500000      37.009619     -50.000000
694          -32.393832      23.550863     -50.000000
695          -33.935107      27.486306     -50.000000
696          -29.809168      27.832109     -50.000000
697          -35.734431      -6.160363     -36.480682
698          -45.141487      19.426080     -43.895121
699          -38.147627      21.500800     -44.698556
700          -37.485923      14.879331     -50.000000
701          -34.754238      19.129400     -50.000000
702          -44.259738       8.332015     -43.525441
703          -39.511698       6.191884     -45.088521
704          -42.507186       2.500000     -42.449523
705          -45.083737       5.412067     -38.496980
706          -50.000000      17.499841     -37.009527
707          -50.000000      12.499974     -37.009604
708          -50.000000      10.000000     -32.679492
709          -43.092625      14.381303     -42.991207
