#iter   time                    x         y         z      curl_n  polarity     eig0_re     eig0_im     eig1_re     eig1_im  type
0       7.322257e-04     -20.8030  -44.8112   50.0000      0.0000       1.0      0.0001      0.0000     -0.0001      0.0000  saddle
0       7.322257e-04      43.6742   15.3281   50.0000      0.0001       1.0      0.0002      0.0000     -0.0002      0.0000  saddle
0       7.322257e-04     -43.0995  -17.9122   50.0000     -0.0001       1.0     -0.0001      0.0000     -0.0001     -0.0000  spiral sink
0       7.322257e-04      34.3452  -41.9532   50.0000      0.0000       1.0     -0.0001      0.0000      0.0001      0.0000  saddle
0       7.322257e-04      29.2510   43.4679   50.0000      0.0001       1.0      0.0002      0.0000     -0.0000      0.0000  saddle
0       7.322257e-04     -11.2919  -44.3752   50.0000     -0.0000       1.0      0.0001      0.0000     -0.0001      0.0000  saddle
0       7.322257e-04      44.1953  -10.1872   50.0000     -0.0001       1.0     -0.0001      0.0000      0.0001      0.0000  saddle
0       7.322257e-04      19.1785  -22.8809   50.0000     -0.0001       1.0      0.0001      0.0000     -0.0001      0.0000  saddle
0       7.322257e-04      12.9622  -16.1683   50.0000      0.0001       1.0     -0.0001      0.0000      0.0002      0.0000  saddle
0       7.322257e-04      11.6369  -14.3602   50.0000      0.0000       1.0      0.0002      0.0000     -0.0001      0.0000  saddle
0       7.322257e-04      -4.7649    4.8296   50.0000      0.0001       1.0      0.0001      0.0000     -0.0002      0.0000  saddle
0       7.322257e-04      15.5866   -8.6710   50.0000      0.0000       1.0     -0.0001      0.0000      0.0002      0.0000  saddle
0       7.322257e-04      19.0741   10.7655   50.0000      0.0001       1.0      0.0001      0.0000     -0.0002      0.0000  saddle
0       7.322257e-04      16.9544   10.0661   50.0000      0.0000       1.0      0.0002      0.0000     -0.0002      0.0000  saddle
0       7.322257e-04      20.2451   11.4190   50.0000      0.0000       1.0     -0.0002      0.0000      0.0000      0.0000  saddle
0       7.322257e-04      18.1980   18.8919   50.0000      0.0000       1.0      0.0001      0.0000      0.0003      0.0000  source
0       7.322257e-04      20.2766    8.4707   50.0000     -0.0001       1.0      0.0001      0.0000      0.0002      0.0000  source
0       7.322257e-04       7.4897   21.4158   50.0000     -0.0001       1.0     -0.0002      0.0000      0.0002      0.0000  saddle
